+------+--------+----------------------------+-----------+----------------+
| NO.  |  Code  |            Name            |    Area   | Green Coverage |
+------+--------+----------------------------+-----------+----------------+
| 0001 |  1238  |         耀江文鼎苑         |   120000  |      38%       |
| 0002 |  1500  |          万家花城          |   55259   |      30%       |
| 0003 |  5941  |          春江花月          |   192500  |      37%       |
| 0004 |  486   |          世纪新城          |   180000  |      35%       |
| 0005 |  1466  |          枫华府第          |   94000   |      34%       |
| 0006 |  1611  |         绿城翡翠城         |  933338   |      40%       |
| 0007 |  1570  |          金基晓庐          |   78000   |      36%       |
| 0008 |  9161  |           东方郡           |   146864  |     37.1%      |
| 0009 |  1105  |        广源盛世嘉园        |  200000   |      35%       |
| 0010 |  9228  |         金地自在城         |  364000   |      30%       |
| 0011 |   30   |           彩虹城           |  218776   |      37%       |
| 0012 |  9099  |        世茂江滨花园        |  276000   |      40%       |
| 0013 |  9267  |          保利东湾          |  290000   |      35%       |
| 0014 |  6394  |         野风海天城         |  143533   |      33%       |
| 0015 |  1047  |          庭院深深          |  22866.12 |     31.69%     |
| 0016 |  1358  |          盛世钱塘          |   60000   |      35%       |
| 0017 |  1137  |          翠苑一区          |   80000   |      35%       |
| 0018 |   71   |          和睦新村          |   170000  |      30%       |
| 0019 |  1564  |          东方润园          |   81008   |      40%       |
| 0027 |  551   |          星洲花园          |   180000  |      35%       |
| 0028 |  1290  |          西城年华          |   100000  |      30%       |
| 0029 |   39   |          贺田尚城          |   66667   |      30%       |
| 0030 |  1040  |        大华西溪风情        |   58000   |      50%       |
| 0031 |  156   |       浅水湾城市花园       |   66700   |      35%       |
| 0032 |   33   |          临江花园          |  110000   |      49%       |
| 0033 |   78   |          小河佳苑          |    8000   |      15%       |
| 0034 |  1562  |         万象城悦府         |   100000  |      30%       |
| 0035 |   37   |         钱江湾花园         |  133400   |      42%       |
| 0036 |  557   |          南都花园          |   80000   |      35%       |
| 0037 |  915   |          水印康庭          |  116725   |      30%       |
| 0038 |  504   |          山水人家          |   210000  |      45%       |
| 0039 |  1531  |          丽江公寓          |  100000   |      30%       |
| 0040 |  947   |          西溪山庄          |  3335000  |      40%       |
| 0041 |   46   |          江南豪园          |  100000   |      38%       |
| 0042 |  442   |         白荡海人家         |   52000   |      30%       |
| 0043 |  747   |           仙林苑           |   79000   |      30%       |
| 0044 |  1662  |        伊萨卡国际城        |   104000  |     46.7%      |
| 0045 |  4313  |          政苑小区          |     --    |      31%       |
| 0053 |  1403  |        景江城市花园        |   18494   |     30.3%      |
| 0054 |  7274  |          江南文苑          |   53860   |      30%       |
| 0055 |  1436  |          新明半岛          |   70000   |     37.80%     |
| 0056 |  747   |           仙林苑           |   79000   |      30%       |
| 0057 |  1316  |        华立爵士风情        |   300000  |      35%       |
| 0058 |  4313  |          政苑小区          |     --    |      31%       |
| 0059 |  143   |          德胜新村          |     --    |      35%       |
| 0060 | 10528  |          嘉泰馨庭          |   40020   |      35%       |
| 0061 |  137   |          清水公寓          |   74704   |      30%       |
| 0062 |  544   |           雅仕苑           |   46700   |      30%       |
| 0063 |  1460  |          兰庭国际          |   25862   |      30%       |
| 0064 | 280200 |          盈都君悦          |     --    |     30.27%     |
| 0065 |  1537  |        万科魅力之城        |   43753   |      30%       |
| 0066 |  1550  |          赞成林风          |   57333   |      30%       |
| 0067 |  1459  |          银马公寓          |   44500   |     32.1%      |
| 0068 |  1606  |        顺发倾城之恋        |   95772   |      40%       |
| 0069 |  9098  |         坤和西溪里         |  120000   |      30%       |
| 0070 |  490   |          翠苑三区          |   80000   |      30%       |
| 0071 |  517   |          紫金庭园          |   98667   |      35%       |
| 0079 |  143   |          德胜新村          |     --    |      35%       |
| 0080 |  1220  |           水印城           |   58688   |      40%       |
| 0081 |   42   |          钱塘春晓          |   20000   |      45%       |
| 0082 |  9147  |          金色蓝庭          |   32950   |      30%       |
| 0083 |  1160  |          南岸花城          |  453333   |     41.6%      |
| 0084 |  137   |          清水公寓          |   74704   |      30%       |
| 0085 |  9098  |         坤和西溪里         |  120000   |      30%       |
| 0086 |  1076  |          南岸晶都          |   91768   |      40%       |
| 0087 |  1493  |          西溪蝶园          |  155838   |      35%       |
| 0088 |  7277  |          中兴和园          |   75504   |      31%       |
| 0089 |  1464  |           芳满庭           |   23000   |      30%       |
| 0090 |  6019  |         绿城桂花城         |   153410  |      68%       |
| 0091 |  9128  |          名城燕园          |   40781   |      33%       |
| 0092 |  1529  |           红苹果           |   58849   |      35%       |
| 0093 |  1063  |         天阳棕榈湾         |   98049   |      35%       |
| 0094 |  4035  |          翰林花园          |   64560   |      20%       |
| 0095 |   41   |        香溢白金海岸        |  101270   |      40%       |
| 0096 |  443   |          九莲新村          |   380000  |      21%       |
| 0097 |  8410  |           稻香园           |   25000   |      30%       |
| 0105 |  5947  |          现代名苑          |     --    |      30%       |
| 0106 |  5745  |          嘉绿景苑          |   10000   |      32%       |
| 0107 |  1542  |        中凯东方红街        |   92046   |      30%       |
| 0108 |  1244  |          西溪锋尚          |   30000   |      33%       |
| 0109 |  519   |          康乐新村          |    3285   |      20%       |
| 0110 |  492   |          翠苑五区          |    8000   |      30%       |
| 0111 |  9207  |         广宇上东城         |   128000  |      30%       |
| 0112 |  1181  |           青春坊           |   65000   |      30%       |
| 0113 |  6669  |       亲亲家园幸福里       |   59720   |      36%       |
| 0114 |  1568  |      宋都新城国际彩园      |   59152   |     36.2%      |
| 0115 |  4532  |          白马尊邸          |   73770   |     30.43%     |
| 0116 |  445   |        古荡新村西区        |    8000   |      30%       |
| 0117 |  1472  |          世纪新筑          |   41306   |      30%       |
| 0118 |  1085  |        水岸城市花园        |   31500   |     25.3%      |
| 0119 |  1166  |          岸上蓝山          |   245220  |      35%       |
| 0120 |  489   |          翠苑二区          |    8000   |      60%       |
| 0121 |  491   |          翠苑四区          |    8000   |      25%       |
| 0122 |  9110  |         钱江水晶城         |   92667   |      35%       |
| 0123 |  5888  |        亲亲家园一期        |   59720   |      35%       |
| 0131 | 126112 |         绿地旭辉城         |   58798   |      30%       |
| 0132 |  335   |          复兴南苑          |    8000   |      30%       |
| 0133 |  1543  |        滨江金色海岸        |   68643   |     35.2%      |
| 0134 |  1605  |          铂金时代          |   43007   |      40%       |
| 0135 |  5943  |          现代景苑          |   100000  |      36%       |
| 0136 |  813   |          黄龙雅苑          |   15222   |      35%       |
| 0137 |  503   |           颐景园           |     --    |      33%       |
| 0138 |  1548  |         新绿园小区         |   27666   |      30%       |
| 0139 |  142   |          德胜东村          |   464000  |      29%       |
| 0140 |  545   |          金成花园          |   58000   |      33%       |
| 0141 |  1688  |          湘湖人家          |  270002   |      40%       |
| 0142 |  539   |          紫桂花园          |   77300   |      36%       |
| 0143 |  1124  |          浪漫和山          |  269330   |      70%       |
| 0144 |  248   |          流水西苑          |     --    |      15%       |
| 0145 |  929   |          嘉绿西苑          |   10000   |      35%       |
| 0146 |  1451  |          南北西岸          |   43506   |      30%       |
| 0147 |   45   |          温馨人家          |   71187   |      30%       |
| 0148 |  1188  |        钱江时代公寓        |   33350   |      30%       |
| 0149 |  1527  |          左邻右舍          |   38705   |      30%       |
| 0157 |  1642  |          青枫墅园          |   330000  |      40%       |
| 0158 |  1056  |      广厦天都城天河苑      |   103000  |      35%       |
| 0159 |  1407  |        中大凤栖花园        |   34000   |      41%       |
| 0160 |  945   |          沁雅花园          |   66000   |      20%       |
| 0161 |  1457  |          今日嘉园          |   16833   |      30%       |
| 0162 |  159   |           信义坊           |     --    |      30%       |
| 0163 |  820   |          求是新村          |   10000   |     3.00%      |
| 0164 |  525   |          金都花园          |   38522   |      28%       |
| 0165 |  451   |           华海园           |   42600   |      30%       |
| 0166 |  1458  |        金都城市芯宇        |  160750   |     31.20%     |
| 0167 |  1448  |           银树湾           |   27198   |      30%       |
| 0168 |  660   |        凤起都市花园        |   42900   |     34.50      |
| 0169 |  179   |          大塘新村          |   30000   |      36%       |
| 0170 |  9150  |          绿城蓝庭          |  146674   |      40%       |
| 0171 |  6342  |           西荡苑           |   518500  |      35%       |
| 0172 |  7594  |          采荷人家          |   64000   |      30%       |
| 0173 |  166   |          湖墅新村          |   18000   |      20%       |
| 0174 |  222   |          朝晖六区          |   22400   |      30%       |
| 0175 |  1276  |          六合天寓          |   50000   |      40%       |
| 0183 |  7594  |          采荷人家          |   64000   |      30%       |
| 0184 |  1008  |          金都华府          |   74704   |      32%       |
| 0185 |  1024  |          物华小区          |   36000   |      35%       |
| 0186 |  179   |          大塘新村          |   30000   |      36%       |
| 0187 |   84   |          紫荆家园          |   66700   |      30%       |
| 0188 |  1293  |          嘉南公寓          |   58000   |      34%       |
| 0189 |  9163  |        保亿风景蝶院        |   69000   |      30%       |
| 0190 | 17035  |        滨江万家星城        |   189655  |      30%       |
| 0191 |  689   |           新华坊           |   178000  |      26%       |
| 0192 |  1487  |         天阳美林湾         |   62000   |      32%       |
| 0193 |  801   |         松木场河东         |     --    |      22%       |
| 0194 | 10920  |          西城美墅          |   34000   |      30%       |
| 0195 | 10422  |          三华天运          |   73370   |      35%       |
| 0196 |  1149  |         耀江文萃苑         |   48000   |      30%       |
| 0197 |  750   |          国都公寓          |   230000  |      38%       |
| 0198 |   92   |           永庆坊           |    4820   |      30%       |
| 0199 |  805   |          胜利新村          |   102000  |      28%       |
| 0200 |  511   |          府苑新村          |   10000   |      30%       |
| 0201 |  362   |          建国南苑          |   85000   |      14%       |
| 0209 |  511   |          府苑新村          |   10000   |      30%       |
| 0210 |  362   |          建国南苑          |   85000   |      14%       |
| 0211 |  9220  |           橡树园           |   34218   |      30%       |
| 0212 |  245   |           京都苑           |   130253  |      45%       |
| 0213 | 281324 |        杭州未来广场        |     --    |       --       |
| 0214 |  436   |        水木清华公寓        |  333500   |      50%       |
| 0215 |  1386  |       新金都城市花园       |   66700   |      40%       |
| 0216 |  9175  |           梦琴湾           |   71659   |      35%       |
| 0217 |  1214  |         中大文锦苑         |   68181   |      30%       |
| 0218 | 286480 |        绿都港汇中心        |   20000   |       --       |
| 0219 |  1477  |          现代雅苑          |   63770   |      35%       |
| 0220 |  6310  |          金色钱塘          |  105350   |      35%       |
| 0221 |  243   |          施家花园          |   200000  |      30%       |
| 0222 |  220   |          朝晖四区          |   10000   |      30%       |
| 0223 |  448   |        古荡新村东区        |   80000   |      30%       |
| 0224 |  6724  |        云溪香山小区        |  35501.24 |      35%       |
| 0225 |  1141  |          同城印象          |   27136   |      35%       |
| 0226 |  1687  |          郁金香岸          |   166666  |      35%       |
| 0227 |  7195  |        赞成岭上花苑        |  58669.96 |      30%       |
| 0235 |  7289  |     良渚文化村白鹭郡南     |  134000   |      35%       |
| 0236 |  7269  |          钱塘山水          |   47735   |      30%       |
| 0237 |  9203  |         嘉里桦枫居         |  104525   |      35%       |
| 0238 |  1182  |          中山花园          |     --    |      30%       |
| 0239 |  520   |          紫金小区          |    8000   |      35%       |
| 0240 |  1454  |          天阳上河          |   33000   |      30%       |
| 0241 |  1077  |          嘉绿名苑          |   40000   |      35%       |
| 0242 |  7258  |          江南摩卡          |   62000   |      35%       |
| 0243 |  7262  |          天鸿君邑          |   47226   |      50%       |
| 0244 |  9177  |          风景大院          |   27491   |      30%       |
| 0245 |  1511  |         三墩颐景园         |   67986   |     33.1%      |
| 0246 |  729   |           永康苑           |   54000   |      30%       |
| 0247 |  178   |          仓基新村          |   115000  |      10%       |
| 0248 |  484   |          学院春晓          |     --    |      35%       |
| 0249 |   26   |        南都江滨花园        |   93380   |      45%       |
| 0250 |  5901  |        亲亲家园三期        |   10000   |      45%       |
| 0251 | 215336 |      玖玖国际财富中心      |     --    |      30%       |
| 0252 |  6968  |         绿城桃花源         |   933800  |      70%       |
| 0253 |   28   |          国信嘉园          |  138069   |      40%       |
| 0261 |  1659  |        复地连城国际        |  190888   |      40%       |
| 0262 |  1486  |          剑桥公社          |   11430   |      32%       |
| 0263 |  308   |         闸弄口新村         |   430520  |      17%       |
| 0264 |  1593  |          盛元慧谷          |   52300   |      50%       |
| 0265 |  1109  |          美政花苑          |    3000   |      35%       |
| 0266 |  1154  |        三里家园一区        |    5200   |      31%       |
| 0267 |  254   |          采荷东区          |   10000   |      30%       |
| 0268 |  177   |          塘河北村          |   15000   |      30%       |
| 0269 | 39676  |        欣盛东方福邸        |   113776  |      30%       |
| 0270 |  512   |          天苑花园          |     --    |      29%       |
| 0271 |  914   |          深蓝广场          |   20000   |      25%       |
| 0272 |  1574  |          水岸帝景          |   11334   |       --       |
| 0273 |   27   |          太阳国际          |   50000   |      55%       |
| 0274 |  1516  |          亿城嘉园          |   42000   |     35.2%      |
| 0275 | 263934 |         金铂湾公寓         |     --    |      20%       |
| 0276 |  437   |          人和家园          |   70429   |      50%       |
| 0277 |  5932  |        亲亲家园二期        |   10000   |      35%       |
| 0278 |  455   |          文二新村          |   10000   |      13%       |
| 0279 |  826   |          曙光新村          |    8000   |      30%       |
| 0287 |  1599  |          观邸国际          |   120000  |      45%       |
| 0288 |  560   |          高教新村          |   150000  |      26%       |
| 0289 |  4696  |        赞成太和广场        |   14401   |      30%       |
| 0290 |  150   |          白马公寓          |   34107   |      40%       |
| 0291 |  7275  |          金盛曼城          |   47754   |      35%       |
| 0292 |  1074  |         新青年广场         |   17000   |      17%       |
| 0293 |  731   |            艮园            |   111905  |      15%       |
| 0294 |   25   |        望江家园东园        |   10000   |      30%       |
